,Project Reference,Academic Year,Mobility Duration,Activity (mob),Field of Education,Participant Gender,Participant Profile,Special Needs,Fewer Opportunities,GroupLeader,Participant Age,Sending City,Sending Organization,Receiving City,Receiving Organization,Participants,Activity Classification,New Participant Nationality,New Education Level,Receiving Country Name,Sending Country Name
1994,2018-1-TR01-KA101-051159,2019-2020,7,Structured Courses/Training Events,Literature and linguistics,Female,Staff,No,No,No,31,Bolu,Bolu Spor Lisesi,Budapest,"Európa 2000 Közgazdasági, Idegenforgalmi és Informatikai Középiskola",1,Training,Turkey,Unknown,Hungary,Turkey
1995,2016-1-IT02-KA103-023346,2017-2018,164,Student mobility for studies between Programme Countries,"Languages, not further defined",Female,Learner,No,No,No,21,CHIETI,UNIVERSITA DEGLI STUDI GABRIELE D'ANNUNZIO DI CHIETI-PESCARA,LONDON,UNIVERSITY COLLEGE LONDON,1,Studies,Italy,Bachelor,United Kingdom,Italy
1996,2014-1-HU01-KA103-002141,2014-2015,103,Student mobility for studies between Programme Countries,Philosophy and ethics,Male,Learner,No,No,No,20,Budapest,EOTVOS LORAND TUDOMANYEGYETEM,Dublin,"UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN",1,Studies,Hungary,Bachelor,Ireland,Hungary
1997,2018-1-UK01-KA103-046773,2018-2019,238,Student mobility for studies between Programme Countries,Music and performing arts,Female,Learner,No,No,No,20,BIRMINGHAM,THE UNIVERSITY OF BIRMINGHAM,Lyon,UNIVERSITE JEAN MOULIN LYON III,1,Studies,United Kingdom,Bachelor,France,United Kingdom
1998,2018-1-ES01-KA103-047016,2018-2019,299,Student mobility for studies between Programme Countries,Management and administration,Female,Learner,No,No,No,19,CORDOBA,UNIVERSIDAD DE CORDOBA,ROMA,UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA,1,Studies,Spain,Bachelor,Italy,Spain
1999,2018-1-RO01-KA103-047906,2019-2020,5,Staff mobility for training between Programme Countries,Other,Female,Staff,No,No,No,19,IASI,UNIVERSITATEA ALEXANDRU IOAN CUZA DIN IASI,SEVILLA,UNIVERSIDAD DE SEVILLA,1,Training,Romania,Unknown,Spain,Romania
2000,2015-1-FR01-KA102-014254,2016-2017,180,VET traineeships in companies abroad,"Business and administration, not further defined",Male,Learner,No,No,No,27,Montmagny,Pôle emploi Direction Générale,CORK,Partnership international,1,Traineeships,France,Unknown,Ireland,France
2001,2015-2-ES02-KA105-006297,2015-2016,7,Youth Exchanges - Programme Countries,Other,Male,Learner,No,Yes,No,24,Constanta,Asociatia Initiative Sociale,ALJARAQUE,ASOCIACION SCOUT NUEVA AMISTAD,1,Youth Exchange,Romania,Unknown,Spain,Romania
2002,2018-1-DE01-KA103-004010,2018-2019,356,Student mobility for studies between Programme Countries,Biology,Female,Learner,No,No,No,23,Mainz,JOHANNES GUTENBERG-UNIVERSITAT MAINZ,Valencia,UNIVERSITAT DE VALENCIA,1,Studies,Germany,Bachelor,Spain,Germany
2003,2019-1-IT02-KA103-061450,2019-2020,157,Student mobility for studies between Programme Countries,"Social sciences, journalism and information, inter-disciplinary programmes",Female,Learner,No,No,No,21,BOLZANO,LIBERA UNIVERSITA DI BOLZANO,Dresden,TECHNISCHE UNIVERSITAET DRESDEN,1,Studies,Italy,Bachelor,Germany,Italy
2004,2016-3-LU02-KA105-000291,2017-2018,7,Mobility of youth workers - Partner Countries,Other,Female,Staff,No,No,No,37,Benfeld,Socio-educational laboratory of inclusion projects,Rostov Velikiy,Academy of innovation,1,Workers,France,Unknown,Russian Federation,France
2005,2018-1-DE01-KA103-003646,2018-2019,136,Student mobility for studies between Programme Countries,Medicine,Female,Learner,No,No,No,21,TÜBINGEN,EBERHARD KARLS UNIVERSITAET TUEBINGEN,GRANADA,UNIVERSIDAD DE GRANADA,1,Studies,Russian Federation,Bachelor,Spain,Germany
2006,2017-1-UK01-KA102-035506,2018-2019,30,VET traineeships in companies abroad,Sports,Male,Learner,No,No,No,19,Hastings,East Sussex College Group,Lebrija,Third Sector International S. L.,1,Traineeships,United Kingdom,Upper Secondary Education,Spain,United Kingdom
